"","sampleId","gend","age","bath","ed","emp","pern","hhh","X","Y","treat","censusId","PERNUM","SERIAL"
"1","0074078000011",2,88,1,2,3,1,1,-58.44888,-34.61515,1,"007407800001","01","0074078000"
"2","0100060000011",2,77,1,2,3,1,1,-58.44888,-34.61515,1,"010006000001","01","0100060000"
"3","0000552000011",1,59,1,2,1,5,1,-58.4488804101251,-34.6151479182398,1,"000055200001","01","0000552000"
"4","0020987000011",1,41,1,3,1,1,1,-58.4488804101251,-34.6151479182398,1,"002098700001","01","0020987000"
"5","0108390000041",2,27,1,5,1,4,2,-58.44888,-34.61515,1,"010839000004","04","0108390000"
"6","0022772000011",2,29,1,3,1,2,1,-58.4488804101251,-34.6151479182398,1,"002277200001","01","0022772000"
"7","0006719000041",1,62,1,3,3,4,2,-58.4488804101251,-34.6151479182398,1,"000671900004","04","0006719000"
"8","0072531000011",1,77,1,2,3,1,1,-58.44888,-34.61515,1,"007253100001","01","0072531000"
"9","0076772000011",2,62,1,4,3,2,1,-58.44888,-34.61515,1,"007677200001","01","0076772000"
"10","0047522000021",2,32,1,3,1,5,2,-58.44888,-34.61515,1,"004752200002","02","0047522000"
"11","0071237000021",2,58,1,3,1,3,2,-58.44888,-34.61515,1,"007123700002","02","0071237000"
"12","0092448000021",2,35,1,5,1,3,2,-58.44888,-34.61515,1,"009244800002","02","0092448000"
"13","0113153000011",2,34,1,4,1,2,1,-58.44888,-34.61515,1,"011315300001","01","0113153000"
"14","0013364000011",2,85,1,4,3,1,1,-58.4488804101251,-34.6151479182398,1,"001336400001","01","0013364000"
"15","0003977000011",2,46,1,3,1,1,1,-58.4488804101251,-34.6151479182398,1,"000397700001","01","0003977000"
"16","0049657000011",1,47,1,5,1,2,1,-58.44888,-34.61515,1,"004965700001","01","0049657000"
"17","0057566000021",2,27,1,3,1,6,2,-58.44888,-34.61515,1,"005756600002","02","0057566000"
"18","0042848000011",2,25,1,5,1,1,1,-58.44888,-34.61515,1,"004284800001","01","0042848000"
