"","sampleId","gend","age","bath","ed","emp","pern","hhh","X","Y","treat","censusId","PERNUM","SERIAL"
"1","0074078000011",2,88,1,2,3,1,1,-58.44888,-34.61515,1,"007407800001","01","0074078000"
"2","0100060000011",2,77,1,2,3,1,1,-58.44888,-34.61515,1,"010006000001","01","0100060000"
"3","0072531000011",1,77,1,2,3,1,1,-58.44888,-34.61515,1,"007253100001","01","0072531000"
"4","0012033000011",2,90,1,4,3,1,1,-58.4488804101251,-34.6151479182398,1,"001203300001","01","0012033000"
"5","0029759000031",1,20,1,3,1,6,2,-58.44888,-34.61515,1,"002975900003","03","0029759000"
"6","0112899000011",1,49,2,3,1,3,1,-58.44888,-34.61515,1,"011289900001","01","0112899000"
"7","0000538000031",1,26,1,2,3,6,2,-58.4488804101251,-34.6151479182398,1,"000053800003","03","0000538000"
"8","0038776000031",1,22,1,5,1,4,2,-58.44888,-34.61515,1,"003877600003","03","0038776000"
"9","0030276000021",1,54,1,2,1,3,2,-58.44888,-34.61515,1,"003027600002","02","0030276000"
"10","0020538000011",2,61,1,5,1,2,1,-58.4488804101251,-34.6151479182398,1,"002053800001","01","0020538000"
"11","0105668000021",2,23,1,5,1,2,2,-58.44888,-34.61515,1,"010566800002","02","0105668000"
"12","0021382000051",2,48,1,3,2,5,2,-58.4488804101251,-34.6151479182398,1,"002138200005","05","0021382000"
"13","0218287000011",1,34,1,3,1,4,1,-58.25806,-34.87679,1,"021828700001","01","0218287000"
"14","0170854000021",2,72,1,3,3,2,2,-57.82724,-34.90981,1,"017085400002","02","0170854000"
"15","0187957000011",1,20,1,2,1,3,1,-61.88895,-37.53164,1,"018795700001","01","0187957000"
"16","0237357000011",2,65,1,2,3,1,1,-57.74006,-37.96563,1,"023735700001","01","0237357000"
"17","0311311000011",1,46,1,2,1,6,1,-58.62461,-34.76931,1,"031131100001","01","0311311000"
"18","0172239000011",1,29,1,3,1,5,1,-57.82724,-34.90981,1,"017223900001","01","0172239000"
