"","gend","age","bath","ed","emp","pern","hhh","X","Y","panelId","treat"
"1",1,23,1,2,1,5,1,-68.741772401042,-32.8882480800092,"000788074baabd16",0
"2",1,19,1,3,2,5,2,-58.4488804101251,-34.6151479182398,"002c5ad0915bbf69",0
"3",1,31,1,5,1,2,1,-58.4488804101251,-34.6151479182398,"003f63bb75d6b660",0
"4",2,22,1,5,3,4,2,-58.6914314463256,-34.551278217791,"0040029f044a602a",0
"5",2,23,1,4,1,5,2,-58.5788319362462,-34.5948809827233,"004ba47d80b42308",0
"6",1,27,1,3,1,5,2,-58.4762694631934,-34.8303492519273,"006a115188dcd011",0
"7",2,80,1,3,3,4,2,-59.1568059719232,-34.5684818918404,"0083fb728660b4d2",0
"8",1,69,1,2,1,2,1,-58.6246088672568,-34.7693065019551,"008808b87d8a85ab",0
"9",1,33,1,3,1,5,1,-60.0438436477086,-31.6969409558606,"0092d1f847bf1163",0
"10",2,22,2,2,2,5,2,-60.4622705179452,-26.7863907850135,"00a1c92d95780167",0
"11",1,18,1,3,1,4,2,-65.4458282535115,-26.6614655020242,"00c744b7434c95b3",0
"12",1,67,1,5,3,2,2,-58.4488804101251,-34.6151479182398,"00c7a444b00fc334",0
"13",2,31,1,5,3,4,2,-60.2924970437052,-33.4822928824669,"00cd471b381d1a54",0
"14",2,23,1,2,1,3,2,-55.8580595078883,-27.5432827681667,"00d28dc16dffcaab",0
"15",2,22,1,3,1,2,1,-58.3413586936725,-34.6784127460771,"00fd3b0c605c3f4f",0
"16",1,39,1,4,1,3,1,-58.8829412440182,-34.1386177245953,"015443ac368f6b90",0
"17",2,54,1,5,1,2,2,-58.5053444861507,-34.5263761375676,"0154c556cf95c49c",0
"18",1,54,1,3,1,3,1,-64.5861516416936,-31.222559240613,"015a989bb0b0a350",0
"19",2,73,1,3,3,2,1,-58.5637335647496,-34.5518231350295,"0160f5687cabfd8b",0
"20",1,24,1,3,3,10,2,-58.7412518747816,-34.710055233357,"0182b51adc204977",0
"21",2,25,1,2,1,3,2,-58.4488804101251,-34.6151479182398,"01b668933918369b",0
"22",2,41,1,3,1,2,2,-58.4488804101251,-34.6151479182398,"01c2f4286043d57c",0
"23",1,38,1,2,1,2,1,-64.1832160923879,-31.4170640978912,"01dd3b9016a34893",0
"24",2,26,1,3,1,2,2,-58.5788319362462,-34.5948809827233,"02213847131a3ccf",0
"25",1,44,1,2,1,3,1,-58.9025599874312,-34.4479556816522,"022149c5ba262ffc",0
"26",1,20,1,3,1,4,2,-63.8430407554091,-24.8731628877567,"022c75cb7cc56c44",0
"27",1,25,1,3,1,3,2,-64.3070592388571,-31.7112018537678,"0233ca9908cfa447",0
"28",1,39,1,5,1,5,1,-58.423469690169,-34.7541169431057,"023a0b00261d7aa3",0
"29",2,29,1,3,3,9,2,-58.1552215029755,-34.8181707378354,"023c29b8094b1fd5",0
"30",1,28,1,3,1,4,1,-68.5342005205531,-31.5331511580079,"023fa27bc49b7c14",0
"31",2,27,1,3,1,3,2,-58.622113918476,-28.2120518062007,"025796faf22f77d5",0
"32",1,48,1,2,1,6,2,-58.2767767278006,-34.7349189384936,"025cc13a7c9160d4",0
"33",2,24,1,5,3,3,2,-58.4488804101251,-34.6151479182398,"02606b0329135147",0
"34",1,22,1,3,1,6,2,-61.9464580733227,-33.9274286765387,"027728425dd3448f",0
"35",2,60,1,2,1,3,2,-58.5841087280564,-32.4475709864139,"0286b80fd12ccf77",0
"36",2,45,1,3,3,8,2,-60.6572211357287,-27.7440503233402,"028aaf4c245270d3",0
"37",2,57,1,5,1,3,1,-65.432605838322,-24.0861500844631,"02956876529773f5",0
"38",2,53,1,2,1,4,1,-56.9258085562639,-36.6558414912978,"02db015970d4cab0",0
"39",2,71,1,2,3,2,1,-58.9025599874312,-34.4479556816522,"02f83b5692a4dad8",0
"40",2,51,1,2,1,2,1,-58.3668830324285,-34.834805250436,"0307858af58c5268",0
"41",2,50,1,2,3,2,2,-58.4488804101251,-34.6151479182398,"0307b586ff9bdab9",0
"42",2,71,1,2,3,1,1,-58.7770476904653,-34.511070292185,"03133935198cf014",0
"43",2,55,1,5,3,4,1,-58.5053444861507,-34.5263761375676,"034d675f0659d03d",0
"44",2,43,1,4,1,5,2,-65.3454299301715,-26.78998718858,"0358bb6773786b04",0
"45",1,28,1,3,1,4,1,-68.5219320837078,-31.4875762140558,"036977bc55668761",0
"46",2,50,1,3,3,5,1,-58.2580631285934,-34.876793577096,"03770562a2414912",0
"47",1,23,1,3,1,6,2,-65.3454299301715,-26.78998718858,"03b3a0d30c802460",0
"48",1,39,1,3,1,2,2,-61.4550903661255,-34.3738837599828,"03b3ad436aa7bf7a",0
"49",2,44,1,5,1,4,1,-58.6490721584121,-34.5983174361618,"03b7dcb15255b8d6",0
"50",2,23,1,4,3,1,1,-55.8580595078883,-27.5432827681667,"03b8cfb11516748f",0
"51",1,69,1,2,1,1,1,-58.3668830324285,-34.834805250436,"03c15046199f0859",0
"52",2,33,1,3,3,4,2,-64.1528646180089,-31.1440566145003,"03c413b07cc67dca",0
"53",2,32,1,2,2,6,2,-59.1555769737818,-34.2951419261604,"03ddfdfcb70a1b54",0
"54",2,62,1,3,3,3,1,-58.4488804101251,-34.6151479182398,"040f841cd4b12720",0
"55",1,35,1,3,1,3,1,-58.4488804101251,-34.6151479182398,"044a656b55d3d43c",0
"56",2,23,1,5,3,3,2,-58.6192889973626,-34.6483469056608,"045aa32985d530a2",0
"57",1,36,1,2,1,5,2,-58.6192889973626,-34.6483469056608,"046775c265609797",0
"58",1,32,1,6,1,1,1,-58.0180951945351,-35.0034017708424,"04806bfd136b4032",0
"59",1,27,1,5,1,3,1,-64.432235728455,-27.8874401651362,"048d88da022143aa",0
"60",2,28,1,3,1,4,2,-58.5637335647496,-34.5518231350295,"049712620df1d842",0
"61",1,73,1,3,3,1,1,-57.2996368306512,-29.591372274012,"04b19cc45d950705",0
"62",1,62,1,6,1,2,2,-58.5053444861507,-34.5263761375676,"04b285201b799b40",0
"63",2,49,1,3,3,5,2,-69.4620765650695,-33.0358285916873,"04b331c2f9977047",0
"64",1,29,1,2,3,6,2,-58.8103623815554,-34.6098501944399,"04d1195c63439250",0
"65",1,38,1,5,1,2,1,-68.9012114121372,-32.8783668355289,"04d40afb6f930d96",0
"66",1,57,1,3,1,3,1,-64.5861516416936,-31.222559240613,"050a79712bb90339",0
"67",2,33,1,2,1,4,1,-59.1145538004664,-27.7194121391442,"051657ff70568c24",0
