"","sampleId","gend","age","bath","ed","emp","pern","hhh","X","Y","treat","censusId","PERNUM","SERIAL"
"1","0009514000051",2,22,1,5,2,5,2,-58.4488804101251,-34.6151479182398,1,"000951400005","05","0009514000"
"2","0029635000081",1,24,1,3,1,8,2,-58.44888,-34.61515,1,"002963500008","08","0029635000"
"3","0097232000011",1,32,1,5,1,1,1,-58.44888,-34.61515,1,"009723200001","01","0097232000"
"4","0077954000011",1,35,1,3,1,4,1,-58.44888,-34.61515,1,"007795400001","01","0077954000"
"5","0091182000011",1,31,1,5,1,2,1,-58.44888,-34.61515,1,"009118200001","01","0091182000"
"6","0089015000011",1,26,1,5,1,1,1,-58.44888,-34.61515,1,"008901500001","01","0089015000"
"7","0090875000011",1,21,1,4,1,3,1,-58.44888,-34.61515,1,"009087500001","01","0090875000"
"8","0032212000011",2,61,1,3,3,3,1,-58.44888,-34.61515,1,"003221200001","01","0032212000"
"9","0055695000011",2,88,1,2,3,1,1,-58.44888,-34.61515,1,"005569500001","01","0055695000"
"10","0090538000021",1,20,1,3,1,2,2,-58.44888,-34.61515,1,"009053800002","02","0090538000"
"11","0083071000021",2,21,1,3,1,2,2,-58.44888,-34.61515,1,"008307100002","02","0083071000"
"12","0056186000011",1,79,1,2,3,2,1,-58.44888,-34.61515,1,"005618600001","01","0056186000"
"13","0073256000011",1,82,1,5,1,3,1,-58.44888,-34.61515,1,"007325600001","01","0073256000"
"14","0043153000011",1,39,1,5,1,5,1,-58.44888,-34.61515,1,"004315300001","01","0043153000"
"15","0040611000011",1,45,1,5,1,3,1,-58.44888,-34.61515,1,"004061100001","01","0040611000"
"16","0071529000011",1,35,1,3,1,3,1,-58.44888,-34.61515,1,"007152900001","01","0071529000"
"17","0098328000011",2,26,1,5,1,1,1,-58.44888,-34.61515,1,"009832800001","01","0098328000"
"18","0052705000021",2,24,1,4,1,2,2,-58.44888,-34.61515,1,"005270500002","02","0052705000"
"19","0053359000011",1,44,1,4,1,4,1,-58.44888,-34.61515,1,"005335900001","01","0053359000"
"20","0098782000011",1,33,1,6,1,3,1,-58.44888,-34.61515,1,"009878200001","01","0098782000"
"21","0027938000011",2,49,1,2,2,2,1,-58.44888,-34.61515,1,"002793800001","01","0027938000"
"22","0068810000021",2,62,1,4,3,4,2,-58.44888,-34.61515,1,"006881000002","02","0068810000"
"23","0046814000031",2,22,1,3,2,4,2,-58.44888,-34.61515,1,"004681400003","03","0046814000"
"24","0031921000011",1,59,1,5,3,3,1,-58.44888,-34.61515,1,"003192100001","01","0031921000"
"25","0031506000021",2,34,1,5,1,3,2,-58.44888,-34.61515,1,"003150600002","02","0031506000"
"26","0090919000051",2,28,1,5,1,5,2,-58.44888,-34.61515,1,"009091900005","05","0090919000"
"27","0078849000011",2,60,1,2,3,3,1,-58.44888,-34.61515,1,"007884900001","01","0078849000"
"28","0090067000011",2,27,1,5,1,1,1,-58.44888,-34.61515,1,"009006700001","01","0090067000"
"29","0071985000031",1,21,1,3,1,5,2,-58.44888,-34.61515,1,"007198500003","03","0071985000"
"30","0091349000011",1,25,1,5,1,2,1,-58.44888,-34.61515,1,"009134900001","01","0091349000"
"31","0024316000021",2,49,1,3,1,4,2,-58.4488804101251,-34.6151479182398,1,"002431600002","02","0024316000"
"32","0086033000021",2,30,1,5,1,2,2,-58.44888,-34.61515,1,"008603300002","02","0086033000"
"33","0042956000011",2,64,1,3,1,3,1,-58.44888,-34.61515,1,"004295600001","01","0042956000"
"34","0073389000021",1,67,1,5,3,2,2,-58.44888,-34.61515,1,"007338900002","02","0073389000"
"35","0071348000021",2,49,1,5,1,2,2,-58.44888,-34.61515,1,"007134800002","02","0071348000"
"36","0050110000021",2,52,1,4,1,2,2,-58.44888,-34.61515,1,"005011000002","02","0050110000"
"37","0084265000011",2,83,1,3,3,1,1,-58.44888,-34.61515,1,"008426500001","01","0084265000"
"38","0066177000011",1,31,1,3,1,7,1,-58.44888,-34.61515,1,"006617700001","01","0066177000"
"39","0066033000011",1,35,1,4,1,4,1,-58.44888,-34.61515,1,"006603300001","01","0066033000"
"40","0045198000021",2,52,1,4,1,3,2,-58.44888,-34.61515,1,"004519800002","02","0045198000"
"41","0015869000031",1,24,1,5,1,4,2,-58.4488804101251,-34.6151479182398,1,"001586900003","03","0015869000"
"42","0022731000021",2,47,1,3,1,2,2,-58.4488804101251,-34.6151479182398,1,"002273100002","02","0022731000"
"43","0001107000011",2,54,1,5,3,4,1,-58.4488804101251,-34.6151479182398,1,"000110700001","01","0001107000"
"44","0026005000041",2,22,1,5,1,4,2,-58.4488804101251,-34.6151479182398,1,"002600500004","04","0026005000"
"45","0022628000021",1,70,1,2,1,2,2,-58.4488804101251,-34.6151479182398,1,"002262800002","02","0022628000"
"46","0002806000011",1,33,1,4,1,1,1,-58.4488804101251,-34.6151479182398,1,"000280600001","01","0002806000"
"47","0066076000011",1,44,1,3,1,3,1,-58.44888,-34.61515,1,"006607600001","01","0066076000"
"48","0080243000011",1,49,1,4,1,5,1,-58.44888,-34.61515,1,"008024300001","01","0080243000"
"49","0064611000031",1,30,1,5,1,3,2,-58.44888,-34.61515,1,"006461100003","03","0064611000"
"50","0055925000011",2,66,1,2,3,2,1,-58.44888,-34.61515,1,"005592500001","01","0055925000"
"51","0129101000031",1,20,1,4,1,6,2,-58.36688,-34.83481,1,"012910100003","03","0129101000"
"52","0478673000021",2,48,1,2,2,6,2,-58.90256,-34.44796,1,"047867300002","02","0478673000"
"53","0149509000021",2,22,1,4,1,2,2,-62.16988,-38.58369,1,"014950900002","02","0149509000"
"54","0210614000011",2,50,2,3,1,3,1,-58.47627,-34.83035,1,"021061400001","01","0210614000"
"55","0334898000041",1,27,1,2,3,6,2,-58.62461,-34.76931,1,"033489800004","04","0334898000"
"56","0571978000051",1,55,1,2,1,5,2,-58.57883,-34.59488,1,"057197800005","05","0571978000"
"57","0238919000011",2,24,1,3,1,4,1,-57.74006,-37.96563,1,"023891900001","01","0238919000"
"58","0337781000011",1,78,1,2,3,2,1,-58.62461,-34.76931,1,"033778100001","01","0337781000"
"59","0449354000021",2,41,1,3,1,3,2,-58.81036,-34.60985,1,"044935400002","02","0449354000"
"60","0548149000011",2,64,1,2,1,2,1,-59.18234,-37.33642,1,"054814900001","01","0548149000"
