"","gend","age","bath","ed","emp","pern","hhh","X","Y","panelId","treat"
"1",2,51,1,5,3,3,1,-58.6192889973626,-34.6483469056608,"0003a8cf3c584757",0
"2",1,42,1,3,1,3,1,-57.7400569739232,-37.965633071548,"00090f8a27806590",0
"3",2,21,1,5,3,4,2,-58.6914314463256,-34.551278217791,"0040029f044a602a",0
"4",1,25,2,2,1,5,2,-58.6246088672568,-34.7693065019551,"005a1bd00db572a1",0
"5",1,72,1,2,3,2,1,-60.670037555783,-36.8572624889944,"0069c8270f107ffa",0
"6",1,50,1,2,1,5,2,-58.6064376242289,-34.3821627094564,"0076ffa914c1c766",0
"7",2,37,1,5,1,1,1,-68.9011851830163,-32.9282796299466,"0080488347fcb41c",0
"8",2,40,1,5,1,3,2,-58.6914314463256,-34.551278217791,"00ad8181687cd004",0
"9",2,42,1,3,3,3,1,-58.5379364966436,-34.4868750258075,"01025a7dd147511d",0
"10",2,39,1,3,3,4,2,-64.9789936971861,-26.9164024412054,"01090f873658f830",0
"11",2,31,1,3,1,5,2,-68.4670789691707,-31.6870540820238,"01118afd61a0262c",0
"12",1,21,1,4,3,3,2,-58.917166606432,-25.7764661710911,"0124dc41f1884ada",0
"13",2,38,1,2,1,6,1,-60.7066788994818,-33.1299963261325,"0129ab5cd7d13cf7",0
"14",1,42,1,2,1,3,2,-64.1832160923879,-31.4170640978912,"01410555a9d1f1a5",0
"15",2,35,1,5,1,3,2,-58.3413586936725,-34.6784127460771,"017ca1c90b1d1da6",0
"16",2,36,1,2,3,7,2,-54.3959063275068,-25.8735445482849,"01a58069b130553f",0
"17",1,51,1,2,1,7,1,-65.432605838322,-24.0861500844631,"01afd8f5a2057b89",0
"18",2,36,1,5,1,1,1,-68.5342005205531,-31.5331511580079,"01b7a71a8c4676f2",0
"19",2,75,1,3,1,1,1,-58.4488804101251,-34.6151479182398,"01bb76fa65213830",0
"20",1,53,1,4,1,2,1,-68.8008483052465,-38.8307903152535,"020da2cc8c18f7fc",0
"21",1,43,1,2,1,4,1,-60.6696152885451,-31.4770125774097,"021dfb5348435781",0
"22",2,87,1,3,3,5,1,-58.7671488445331,-35.5107518799604,"02299130899a4fc8",0
"23",2,32,1,3,1,2,2,-58.4488804101251,-34.6151479182398,"0248c73bbbd93f08",0
"24",1,29,1,3,1,4,1,-59.1145538004664,-27.7194121391442,"028734d18cacf48a",0
"25",2,58,1,4,1,2,1,-58.9025599874312,-34.4479556816522,"0288c80232ac9265",0
"26",1,18,1,2,1,5,2,-57.2996368306512,-29.591372274012,"028add47d1045c55",0
"27",2,22,1,4,1,4,2,-58.7412518747816,-34.710055233357,"02936d847c3248c3",0
"28",1,27,1,3,1,6,2,-58.5637335647496,-34.5518231350295,"02977a413586983d",0
"29",1,60,1,2,1,2,2,-60.2924970437052,-33.4822928824669,"0298872448b19601",0
"30",1,27,2,3,1,6,2,-64.5861516416936,-31.222559240613,"02f223b068f33261",0
"31",1,81,1,3,3,5,2,-57.5486747113375,-35.2999339505819,"030bfb95b467bad8",0
"32",1,55,1,2,1,5,1,-60.7066788994818,-33.1299963261325,"0315803fa8b86490",0
"33",1,69,2,4,1,2,1,-57.7400569739232,-37.965633071548,"03210657a6407622",0
"34",2,54,1,4,1,3,2,-59.5003981291152,-30.8981286049868,"032390d84b05656c",0
"35",2,88,1,3,3,1,1,-58.4488804101251,-34.6151479182398,"032b85c24dfbc4f1",0
"36",1,38,1,2,1,4,2,-64.5861516416936,-31.222559240613,"0368789a6827c38b",0
"37",2,72,1,4,3,3,2,-57.9806988681083,-34.8425971617461,"03836c1799ba386f",0
"38",1,27,1,5,1,2,1,-60.0438436477086,-31.6969409558606,"03aff170986a8476",0
"39",1,40,1,2,1,2,1,-65.0698568024222,-43.1367830367119,"03b9f8af1d10d138",0
"40",2,33,1,3,3,4,2,-64.1528646180089,-31.1440566145003,"03c413b07cc67dca",0
"41",2,26,1,4,1,5,2,-65.1562483911889,-31.7077606035851,"0415bc203cb3438d",0
"42",1,39,1,3,1,3,2,-65.432605838322,-24.0861500844631,"041fd95530648b62",0
"43",1,35,1,2,1,5,2,-58.3781590459342,-25.938577139892,"0436b23ab8a8a477",0
"44",2,25,2,5,2,2,2,-59.1145538004664,-27.7194121391442,"043b8c4b6f5cac29",0
"45",1,20,1,3,1,9,2,-58.6246088672568,-34.7693065019551,"04512c01465a3570",0
"46",1,35,1,2,1,5,2,-58.6192889973626,-34.6483469056608,"046775c265609797",0
"47",1,41,2,2,3,4,1,-58.1552215029755,-34.8181707378354,"04677ddb04366831",0
"48",1,48,1,4,1,3,1,-58.4488804101251,-34.6151479182398,"0481d23d628f5f96",0
"49",1,73,1,3,1,2,1,-58.5053444861507,-34.5263761375676,"049c18ac34346636",0
"50",1,54,1,2,1,4,1,-60.236401893874,-38.5140258672422,"049d6d9924d6c081",0
"51",1,54,1,2,1,2,1,-59.1568059719232,-34.5684818918404,"049f479aa3c959f4",0
"52",2,41,1,2,1,4,2,-58.5637335647496,-34.5518231350295,"04bb6919732d48fa",0
"53",1,67,1,3,3,3,1,-65.2178480527046,-26.8333109955845,"04d59048c0f037f8",0
"54",1,35,1,2,1,4,1,-58.5379364966436,-34.4868750258075,"050c061f2999a4bd",0
"55",1,100,1,2,3,5,2,-59.1275315604157,-33.9965726299644,"056d0449588196aa",0
"56",1,37,1,3,1,2,2,-58.3941226666696,-34.7047432858555,"057f4db36742f2cb",0
"57",1,48,1,4,1,2,2,-64.9789936971861,-26.9164024412054,"0593877f21c89b40",0
"58",2,54,1,4,1,5,1,-63.2562238529538,-32.5143344670918,"05b05951cc307332",0
"59",2,25,1,3,1,7,2,-60.0438436477086,-31.6969409558606,"05c5ab8c564d4722",0
"60",2,48,1,3,1,4,2,-58.4488804101251,-34.6151479182398,"05db39559b775bd5",0
"61",1,24,1,3,1,4,2,-65.432605838322,-24.0861500844631,"05fd9abc35167f59",0
"62",1,76,1,3,1,1,1,-58.4488804101251,-34.6151479182398,"0613b7d83b948a84",0
"63",2,39,1,3,2,3,2,-65.7138958918802,-34.7501504644319,"061f234640148c6c",0
"64",1,22,1,3,2,8,2,-65.432605838322,-24.0861500844631,"0626c75fa4150d05",0
"65",1,24,1,3,1,8,2,-68.4904365096464,-33.1480582255345,"062c911c84afa66d",0
"66",2,20,1,3,1,12,2,-65.2711768340015,-24.8911881837991,"0638a38717524c4f",0
"67",1,64,1,2,1,3,1,-62.5251535452325,-31.236000623864,"065059047a4641cb",0
"68",2,29,1,2,3,4,1,-58.0180951945351,-35.0034017708424,"0651229d155b9fa8",0
"69",2,45,1,4,1,4,1,-65.2178480527046,-26.8333109955845,"0669410cb943f368",0
"70",1,20,1,3,3,5,2,-60.6696152885451,-31.4770125774097,"06ca33ff7dc201d3",0
"71",1,20,1,3,1,7,2,-58.6246088672568,-34.7693065019551,"06fac90d77b2c0b5",0
"72",1,25,1,3,1,3,1,-57.7400569739232,-37.965633071548,"070453dc6c3739bd",0
"73",2,61,1,2,3,2,1,-64.5861516416936,-31.222559240613,"07133a4397bdd2c9",0
"74",1,34,1,3,2,8,2,-65.2711768340015,-24.8911881837991,"072b7bd4ac6040aa",0
"75",1,26,1,3,1,4,2,-58.4488804101251,-34.6151479182398,"0743766a02fb23c8",0
"76",2,72,1,5,1,2,1,-64.1832160923879,-31.4170640978912,"075a4d8c3c310bd9",0
"77",2,46,1,2,2,3,1,-58.423469690169,-34.7541169431057,"07666c20dc3b0c5f",0
"78",2,45,1,3,1,1,1,-68.9011851830163,-32.9282796299466,"076ccb7b2558c31c",0
"79",1,20,1,3,2,8,2,-64.439332767481,-23.1429195145417,"0783083946fcf5d1",0
"80",2,52,1,3,1,3,1,-58.4488804101251,-34.6151479182398,"0794194fb27f2ab8",0
"81",1,34,1,3,1,4,1,-58.6246088672568,-34.7693065019551,"07aa7c96252aa359",0
"82",2,35,1,3,1,7,2,-59.1145538004664,-27.7194121391442,"07ca63f23c7c40a9",0
"83",1,62,1,4,3,3,1,-65.2711768340015,-24.8911881837991,"07d6d52d2b185c6d",0
"84",2,20,1,5,1,4,2,-58.2767767278006,-34.7349189384936,"07d76c84116a5557",0
