"","gend","age","bath","ed","emp","pern","hhh","X","Y","panelId","treat"
"1",2,63,1,3,3,2,2,-58.6064376242289,-34.3821627094564,"003c510f32d817aa",0
"2",2,38,1,3,1,7,2,-58.3668830324285,-34.834805250436,"005a65f65dfda249",0
"3",1,28,1,5,2,5,2,-67.5580664653313,-38.5298248372128,"005c10392476f7c0",0
"4",2,38,1,3,1,3,2,-58.5641494773466,-34.8752388864172,"006a3678d7bc7d5f",0
"5",2,24,1,3,3,4,2,-58.0180951945351,-35.0034017708424,"006b9ddbb70d8fa2",0
"6",1,24,1,3,1,3,2,-58.7704904274157,-34.3278587595283,"0072f4abbcb693b4",0
"7",1,34,2,2,2,8,1,-65.2178480527046,-26.8333109955845,"0073668a1d20856f",0
"8",2,45,1,2,2,4,1,-58.1552215029755,-34.8181707378354,"00836dc8d61c25c3",0
"9",2,55,1,4,3,5,1,-67.7962521979246,-26.6626413538192,"00bc46c978f8ff5a",0
"10",1,85,1,3,3,2,1,-58.4488804101251,-34.6151479182398,"01190322b9600c40",0
"11",2,39,1,3,1,3,2,-60.2924970437052,-33.4822928824669,"0135afd0b8b4cdb5",0
"12",1,30,1,2,1,7,2,-64.1832160923879,-31.4170640978912,"015cbd8d9bf326a2",0
"13",2,72,1,3,3,2,1,-58.5637335647496,-34.5518231350295,"0160f5687cabfd8b",0
"14",2,39,1,3,3,4,2,-68.8008483052465,-38.8307903152535,"01750abf48bf1174",0
"15",1,30,1,3,1,6,1,-55.8580595078883,-27.5432827681667,"0177497d52a1919b",0
"16",1,37,1,3,1,5,1,-71.5301538800889,-41.5027678667504,"01b0baf563836d89",0
"17",2,21,1,4,1,6,2,-60.6696152885451,-31.4770125774097,"01c7f7b16fca22c2",0
"18",1,18,1,2,1,7,1,-58.7704904274157,-34.3278587595283,"02055c38b1404571",0
"19",1,20,1,2,1,6,2,-59.1015886491161,-35.1264103130654,"022d204135f04dc7",0
"20",2,47,1,3,2,5,2,-58.5379364966436,-34.4868750258075,"023762a7b445059a",0
"21",2,29,1,3,3,9,2,-58.1552215029755,-34.8181707378354,"023c29b8094b1fd5",0
"22",1,29,1,3,1,8,2,-58.9025599874312,-34.4479556816522,"023d02f239723923",0
"23",2,37,1,3,1,3,2,-63.7792471105874,-32.2877127919347,"0242fb530dfc421d",0
"24",2,79,1,5,3,2,2,-58.5379364966436,-34.4868750258075,"025aa2b94adb48a3",0
"25",1,38,1,2,1,2,1,-60.6572211357287,-27.7440503233402,"0269b96a3c664d9d",0
"26",2,24,1,4,3,4,2,-60.3544161561354,-34.6182035687611,"0282f8778da010a6",0
"27",1,21,1,2,1,6,2,-59.6350407024438,-34.772650761417,"02948d732b2b43b8",0
"28",1,53,1,2,1,6,1,-64.1528646180089,-31.1440566145003,"02a14a5740087729",0
"29",1,43,1,2,1,3,1,-58.4488804101251,-34.6151479182398,"02d00fa8ad394a9a",0
"30",2,77,1,4,3,1,1,-58.4488804101251,-34.6151479182398,"034c3532012b0560",0
"31",1,41,1,3,1,3,1,-56.9258085562639,-36.6558414912978,"037820bdf94dd179",0
"32",1,48,1,3,1,3,2,-64.1832160923879,-31.4170640978912,"038c216577dcb740",0
"33",2,72,1,4,1,1,1,-58.6064376242289,-34.3821627094564,"03921f0932db4218",0
"34",1,61,1,2,1,5,1,-60.5444404968683,-33.8362510375828,"0398f678b9ff42b8",0
"35",1,64,1,5,1,2,1,-58.4488804101251,-34.6151479182398,"039c0dcb1f359282",0
"36",1,39,1,3,1,2,2,-61.4550903661255,-34.3738837599828,"03b3ad436aa7bf7a",0
"37",2,65,1,3,3,2,1,-57.7400569739232,-37.965633071548,"03d30986d525c354",0
"38",1,51,1,4,1,6,2,-58.6246088672568,-34.7693065019551,"03d3733168657061",0
"39",2,50,1,2,1,4,2,-58.4488804101251,-34.6151479182398,"03d50106cb0c519c",0
"40",2,20,1,3,1,6,2,-68.741772401042,-32.8882480800092,"03fcd776968f9475",0
