"","sampleId","gend","age","bath","ed","emp","pern","hhh","X","Y","treat","censusId","PERNUM","SERIAL"
"1","0029759000031",1,20,1,3,1,6,2,-58.44888,-34.61515,1,"002975900003","03","0029759000"
"2","0112899000011",1,49,2,3,1,3,1,-58.44888,-34.61515,1,"011289900001","01","0112899000"
"3","0021382000051",2,48,1,3,2,5,2,-58.4488804101251,-34.6151479182398,1,"002138200005","05","0021382000"
"4","0170854000021",2,72,1,3,3,2,2,-57.82724,-34.90981,1,"017085400002","02","0170854000"
"5","0187957000011",1,20,1,2,1,3,1,-61.88895,-37.53164,1,"018795700001","01","0187957000"
"6","0237357000011",2,65,1,2,3,1,1,-57.74006,-37.96563,1,"023735700001","01","0237357000"
"7","0322968000011",1,20,1,2,1,5,1,-58.62461,-34.76931,1,"032296800001","01","0322968000"
"8","0417176000021",1,36,1,3,1,2,2,-58.71143,-34.48647,1,"041717600002","02","0417176000"
"9","0568469000011",1,46,1,2,1,6,1,-58.57883,-34.59488,1,"056846900001","01","0568469000"
"10","0544376000011",2,52,1,2,3,4,1,-58.43164,-35.07,1,"054437600001","01","0544376000"
"11","0117135000011",2,47,1,2,1,3,1,-58.36688,-34.83481,1,"011713500001","01","0117135000"
"12","0256379000011",1,31,1,3,1,3,1,-58.98609,-34.65125,1,"025637900001","01","0256379000"
"13","0534054000011",2,53,2,2,1,3,1,-58.69143,-34.55128,1,"053405400001","01","0534054000"
"14","0223441000021",2,24,1,3,3,4,2,-58.25806,-34.87679,1,"022344100002","02","0223441000"
"15","0173753000021",2,21,1,2,2,4,2,-60.5328,-36.24412,1,"017375300002","02","0173753000"
"16","0486061000011",1,25,1,2,1,1,1,-56.87324,-37.11465,1,"048606100001","01","0486061000"
"17","0341687000021",2,22,1,2,1,2,2,-58.62461,-34.76931,1,"034168700002","02","0341687000"
"18","0324285000011",1,71,1,3,1,1,1,-58.62461,-34.76931,1,"032428500001","01","0324285000"
"19","0440423000011",2,27,1,3,1,3,1,-58.81036,-34.60985,1,"044042300001","01","0440423000"
"20","0130682000011",1,24,1,2,1,2,1,-58.36688,-34.83481,1,"013068200001","01","0130682000"
"21","0532414000051",1,24,1,3,1,6,2,-58.69143,-34.55128,1,"053241400005","05","0532414000"
"22","0377002000041",2,24,1,5,3,4,2,-58.0181,-35.0034,1,"037700200004","04","0377002000"
"23","0561232000011",1,35,1,2,1,4,1,-58.60644,-34.38216,1,"056123200001","01","0561232000"
"24","0244849000011",1,26,1,3,1,3,1,-57.74006,-37.96563,1,"024484900001","01","0244849000"
"25","0302285000041",1,22,1,3,1,5,2,-58.62461,-34.76931,1,"030228500004","04","0302285000"
"26","0512108000011",1,29,1,2,1,6,1,-59.70348,-35.67642,1,"051210800001","01","0512108000"
"27","0320726000021",2,31,1,3,1,4,2,-58.62461,-34.76931,1,"032072600002","02","0320726000"
"28","0159154000011",1,77,1,2,3,2,1,-59.4932,-33.93207,1,"015915400001","01","0159154000"
"29","0118002000081",1,33,1,3,2,14,2,-58.36688,-34.83481,1,"011800200008","08","0118002000"
"30","0340104000011",1,43,1,2,1,3,1,-58.62461,-34.76931,1,"034010400001","01","0340104000"
"31","0478154000011",1,21,1,2,1,5,1,-58.90256,-34.44796,1,"047815400001","01","0478154000"
"32","0215764000031",1,25,1,2,1,4,2,-58.56415,-34.87524,1,"021576400003","03","0215764000"
"33","0128346000061",1,18,1,2,2,6,2,-58.36688,-34.83481,1,"012834600006","06","0128346000"
"34","0275863000031",1,27,1,3,2,5,2,-58.64907,-34.59832,1,"027586300003","03","0275863000"
"35","0434193000011",1,45,1,2,1,4,1,-58.74125,-34.71006,1,"043419300001","01","0434193000"
"36","0470365000011",1,28,1,4,1,4,1,-60.67004,-36.85726,1,"047036500001","01","0470365000"
"37","0218266000011",2,45,1,2,2,3,1,-58.25806,-34.87679,1,"021826600001","01","0218266000"
"38","0284237000031",1,19,1,2,1,6,2,-58.77705,-34.51107,1,"028423700003","03","0284237000"
"39","0462809000011",1,46,1,3,2,1,1,-59.16626,-38.25836,1,"046280900001","01","0462809000"
"40","0388688000021",1,26,1,3,1,4,2,-58.42347,-34.75412,1,"038868800002","02","0388688000"
"41","0402534000011",1,46,2,3,1,2,1,-58.42347,-34.75412,1,"040253400001","01","0402534000"
"42","0388503000031",1,42,1,2,1,6,2,-58.42347,-34.75412,1,"038850300003","03","0388503000"
"43","0405604000011",1,34,1,3,1,4,1,-58.42347,-34.75412,1,"040560400001","01","0405604000"
"44","0171851000031",2,28,1,3,1,3,2,-57.82724,-34.90981,1,"017185100003","03","0171851000"
"45","0128805000011",1,26,1,3,1,1,1,-58.36688,-34.83481,1,"012880500001","01","0128805000"
"46","0601643000011",1,45,1,3,1,2,1,-66.32991,-27.1513,1,"060164300001","01","0601643000"
"47","0596536000021",2,46,1,3,1,6,2,-65.84201,-28.42452,1,"059653600002","02","0596536000"
"48","0690016000021",1,25,1,2,1,4,2,-62.52515,-31.236,1,"069001600002","02","0690016000"
"49","0694822000011",1,63,1,2,1,4,1,-62.52515,-31.236,1,"069482200001","01","0694822000"
"50","0700143000041",1,19,1,2,1,5,2,-63.77925,-32.28771,1,"070014300004","04","0700143000"
