"","gend","age","bath","ed","emp","pern","hhh","X","Y","panelId","treat"
"533",1,22,1,2,1,6,2,-64.1807058093911,-27.4502296802384,"72ad0dc57b3aa55f",0
"534",2,29,1,2,1,5,2,-70.979159756615,-49.8815594690106,"7300d63a6274daa9",0
"535",1,31,1,3,1,3,1,-61.1100432004277,-31.3171749553626,"731f51b4c84c7fd1",0
"536",1,18,1,3,3,5,2,-60.6696152885451,-31.4770125774097,"73a2a297dd52737d",0
"537",1,57,1,3,3,4,1,-60.0438436477086,-31.6969409558606,"73bdb730dfbc9659",0
"538",1,21,1,3,3,5,2,-60.6696152885451,-31.4770125774097,"741c68614cc689cc",0
"539",1,23,1,2,1,4,2,-58.6246088672568,-34.7693065019551,"741f46561c6b6c3b",0
"540",2,48,2,2,1,3,1,-58.6246088672568,-34.7693065019551,"74d0726c6114913c",0
"541",1,49,1,2,3,4,1,-71.4607501207088,-43.0749325657064,"74fac74f223598d4",0
"542",2,45,1,3,1,7,1,-71.5301538800889,-41.5027678667504,"7525a0802cf54107",0
"543",2,35,1,3,3,4,2,-64.1832160923879,-31.4170640978912,"7577d8179478f51c",0
"544",1,30,1,3,1,15,2,-64.439332767481,-23.1429195145417,"75b9d718c3f22512",0
"545",1,19,1,3,3,5,2,-60.0438436477086,-31.6969409558606,"75bb877b252695c1",0
"546",2,48,2,2,1,2,1,-58.6246088672568,-34.7693065019551,"76a773b076cc755f",0
"547",1,30,1,4,1,7,2,-66.1880294951236,-37.4726893910185,"7725305ffc6a9992",0
"548",1,75,1,2,3,2,1,-58.6246088672568,-34.7693065019551,"77313092695c5c42",0
"549",1,18,1,2,1,4,2,-65.2903419156531,-27.4247344890611,"774d59b277dfff91",0
"550",2,43,2,3,1,3,2,-58.5788319362462,-34.5948809827233,"77940446b7145600",0
"551",2,19,1,2,2,15,2,-64.556910433389,-23.9148772308151,"77ab61cb502040fc",0
"552",1,19,1,2,2,5,2,-65.8420050450907,-28.4245196975075,"77b43ad17a1b3118",0
"553",1,44,1,3,1,3,2,-58.5637335647496,-34.5518231350295,"77bad4bd7d83ffa3",0
"554",1,50,1,2,1,5,1,-58.917166606432,-25.7764661710911,"77fbaf5f1f1b49bc",0
"555",1,20,1,3,1,6,2,-58.3668830324285,-34.834805250436,"781087fc3fb15332",0
"556",1,55,1,2,3,3,1,-60.6696152885451,-31.4770125774097,"781887bbbd18df70",0
"557",2,43,1,3,1,6,2,-66.3702743222188,-29.4574921855042,"7829f28058395401",0
"558",1,51,1,2,1,5,1,-59.2551834162208,-29.4528061477907,"782ab494960107d7",0
"559",1,31,1,3,1,3,1,-58.6914314463256,-34.551278217791,"784d8fcfd95f1700",0
"560",1,37,1,3,1,2,2,-58.2767767278006,-34.7349189384936,"7850658b84f85a01",0
"561",1,50,2,2,1,3,1,-58.6246088672568,-34.7693065019551,"78cf125f03375ba4",0
"562",1,52,1,2,1,4,1,-58.3781590459342,-25.938577139892,"790400c79ac7545d",0
"563",1,32,1,3,3,15,2,-58.6064376242289,-34.3821627094564,"7928d8517724c78d",0
"564",1,20,1,3,3,4,2,-67.7093785858779,-45.2860015577364,"7944342d40bbb25a",0
"565",1,24,1,3,1,3,1,-56.9258085562639,-36.6558414912978,"795c8d8aca7a6674",0
"566",2,47,1,2,1,3,1,-58.1552215029755,-34.8181707378354,"7993760bfa95330c",0
"567",1,24,1,3,1,2,1,-64.1832160923879,-31.4170640978912,"79b1faf5415649bd",0
"568",1,42,1,2,1,5,1,-68.584221686327,-31.7457405474273,"79c0a6fb84bd1507",0
"569",1,19,1,2,1,5,2,-65.2178480527046,-26.8333109955845,"79d404bd1907104b",0
"570",1,75,1,2,3,2,1,-58.6192889973626,-34.6483469056608,"79f4abf976d57cbc",0
"571",2,32,1,3,3,4,2,-64.1528646180089,-31.1440566145003,"7a0f3b1f9c911192",0
"572",1,39,1,3,1,5,1,-58.7640220601412,-27.5196363062383,"7a13696839212978",0
"573",2,21,1,2,2,4,2,-60.670037555783,-36.8572624889944,"7a137611212dc8a2",0
"574",1,35,1,2,1,1,1,-58.2373800389925,-31.2907523920677,"7a6f419594b57174",0
"575",2,61,1,4,1,2,2,-59.1275315604157,-33.9965726299644,"7b0345c2c6d4c778",0
"576",1,22,1,2,1,3,1,-62.4346275658807,-37.7707717623269,"7b67ff86f0843fa7",0
"577",2,19,1,2,2,4,2,-59.1823363320817,-37.3364189517245,"7b81f572c8127dbd",0
"578",1,18,1,2,2,6,2,-58.3668830324285,-34.834805250436,"7bf04cfcc8f30487",0
"579",1,27,1,2,1,3,2,-62.791425668622,-32.8784565749729,"7bf4895afcfd4708",0
"580",2,38,1,3,1,5,2,-60.6696152885451,-31.4770125774097,"7bfc635661cdfb9a",0
"581",1,22,1,3,1,2,1,-58.7640220601412,-27.5196363062383,"7c246429f8d30bb0",0
"582",1,26,1,2,1,4,2,-64.6214326128784,-32.2070268867273,"7c321639654208b9",0
"583",1,25,1,2,1,4,1,-65.2562159148128,-24.399008765009,"7c84f0f522bcc39b",0
"584",1,22,1,3,1,3,1,-58.3781590459342,-25.938577139892,"7c8b48412bbdf652",0
"585",1,19,1,3,3,5,2,-60.6696152885451,-31.4770125774097,"7c9b60daa39b690c",0
"586",1,32,1,3,1,4,1,-63.4187353816323,-34.1401119281022,"7d4a2056b421aba3",0
"587",2,18,1,3,1,7,2,-58.9337445148205,-28.9881584287831,"7d87133f20072966",0
"588",1,32,1,3,2,7,2,-68.6689759067021,-32.9864228370018,"7d87d62f4ab7667b",0
"589",1,26,1,3,1,2,1,-62.5251535452325,-31.236000623864,"7d95fdf80b004392",0
"590",1,21,1,3,1,5,2,-68.0308297797123,-47.3332425134874,"7d9c2cc1022f596f",0
"591",1,23,1,2,1,2,1,-58.3941226666696,-34.7047432858555,"7dbfdcc21587d064",0
"592",2,49,1,2,1,3,1,-64.3070592388571,-31.7112018537678,"7dd2d8c83907333f",0
