"","sampleId","gend","age","bath","ed","emp","pern","hhh","X","Y","treat","censusId","PERNUM","SERIAL"
"1","0005056000011",1,40,1,2,1,2,1,-58.4488804101251,-34.6151479182398,1,"000505600001","01","0005056000"
"2","0019187000021",1,46,2,3,1,3,2,-58.4488804101251,-34.6151479182398,1,"001918700002","02","0019187000"
"3","0020830000051",1,29,1,3,3,7,2,-58.4488804101251,-34.6151479182398,1,"002083000005","05","0020830000"
"4","0023942000011",1,28,1,3,1,1,1,-58.4488804101251,-34.6151479182398,1,"002394200001","01","0023942000"
"5","0050941000011",1,41,1,3,3,1,1,-58.4488804101251,-34.6151479182398,1,"005094100001","01","0050941000"
"6","0059946000021",2,33,1,2,1,7,2,-58.4488804101251,-34.6151479182398,1,"005994600002","02","0059946000"
"7","0065203000021",1,22,1,3,1,4,2,-58.4488804101251,-34.6151479182398,1,"006520300002","02","0065203000"
"8","0108991000011",2,27,2,3,1,1,1,-58.4488804101251,-34.6151479182398,1,"010899100001","01","0108991000"
"9","0114286000011",2,33,1,3,1,4,1,-58.4488804101251,-34.6151479182398,1,"011428600001","01","0114286000"
"10","0120495000011",1,50,1,3,1,6,1,-58.3668830324285,-34.834805250436,1,"012049500001","01","0120495000"
"11","0127653000021",2,32,1,2,1,8,2,-58.3668830324285,-34.834805250436,1,"012765300002","02","0127653000"
"12","0138769000021",1,30,1,3,1,5,2,-58.3413586936725,-34.6784127460771,1,"013876900002","02","0138769000"
"13","0159808000031",1,21,1,3,3,5,2,-60.0629204379978,-34.0121117826886,1,"015980800003","03","0159808000"
"14","0169549000021",2,38,1,2,1,6,2,-58.1552215029755,-34.8181707378354,1,"016954900002","02","0169549000"
"15","0176917000011",1,42,1,2,1,3,1,-58.8829412440182,-34.1386177245953,1,"017691700001","01","0176917000"
"16","0177669000011",2,41,1,2,1,4,1,-58.8829412440182,-34.1386177245953,1,"017766900001","01","0177669000"
"17","0182291000021",2,28,1,2,1,6,2,-62.3041170545294,-35.0520306025413,1,"018229100002","02","0182291000"
"18","0186554000031",1,21,1,3,3,5,2,-61.1009459719358,-38.6825174266042,1,"018655400003","03","0186554000"
"19","0189427000021",1,18,1,3,3,2,2,-60.3544161561354,-34.6182035687611,1,"018942700002","02","0189427000"
"20","0192775000011",1,27,1,2,1,5,1,-59.9587853052329,-34.9154768714772,1,"019277500001","01","0192775000"
"21","0194050000021",1,21,1,3,1,3,2,-61.8213726999748,-36.5267705479113,1,"019405000002","02","0194050000"
"22","0202417000011",2,25,1,2,2,4,1,-58.7704904274157,-34.3278587595283,1,"020241700001","01","0202417000"
"23","0207544000031",1,25,1,2,1,6,2,-58.4762694631934,-34.8303492519273,1,"020754400003","03","0207544000"
"24","0215521000011",2,39,1,3,1,5,1,-58.5641494773466,-34.8752388864172,1,"021552100001","01","0215521000"
"25","0221859000011",1,26,2,3,1,3,1,-58.2580631285934,-34.876793577096,1,"022185900001","01","0221859000"
"26","0222047000041",1,29,1,2,1,6,2,-58.2580631285934,-34.876793577096,1,"022204700004","04","0222047000"
