"","gend","age","bath","ed","emp","pern","hhh","X","Y","panelId","treat"
"1",1,43,2,2,1,4,1,-58.2580631285934,-34.876793577096,"003f6098f9b54923",0
"2",1,44,1,3,1,2,1,-62.1698825493603,-38.5836883883761,"0065f253a5433dfa",0
"3",1,27,1,3,1,5,2,-58.4762694631934,-34.8303492519273,"006a115188dcd011",0
"4",1,30,1,2,1,7,2,-64.1832160923879,-31.4170640978912,"015cbd8d9bf326a2",0
"5",1,18,1,4,3,4,2,-58.3668830324285,-34.834805250436,"016156d7d60fbbd8",0
"6",1,21,1,3,1,6,2,-64.5861516416936,-31.222559240613,"01c461803bb47266",0
"7",1,32,1,2,1,3,1,-59.5279587708288,-28.6764585126372,"037a75b537696c56",0
"8",2,23,1,3,3,5,2,-58.3781590459342,-25.938577139892,"038d486108c253dc",0
"9",1,19,1,3,1,4,2,-60.670037555783,-36.8572624889944,"043764c306d155f9",0
"10",1,25,1,3,2,2,2,-68.4092834046716,-44.0127745716337,"046bdc9b5b865b6a",0
"11",2,43,1,2,1,5,1,-66.5135809789634,-33.8208567840184,"048f483b892327f1",0
"12",1,32,1,2,1,3,1,-58.062101826018,-25.3709060894978,"05183351fa1cc30c",0
"13",2,44,1,3,1,4,1,-65.8420050450907,-28.4245196975075,"052162289c107a1b",0
"14",1,21,1,3,1,5,2,-58.6192889973626,-34.6483469056608,"05a4d450fdfaf234",0
"15",2,22,1,3,3,2,2,-60.6696152885451,-31.4770125774097,"05f000560b4d0c1a",0
"16",2,30,1,2,3,6,2,-58.5788319362462,-34.5948809827233,"05f1f1175958ac0a",0
"17",1,33,1,2,1,4,1,-59.1823363320817,-37.3364189517245,"066681c505752754",0
"18",1,42,1,2,1,5,1,-63.2562238529538,-32.5143344670918,"06d3d05d21621559",0
"19",1,31,1,3,2,2,1,-65.4458282535115,-26.6614655020242,"0706cf3b4782d85a",0
"20",1,24,1,4,2,9,2,-59.5279587708288,-28.6764585126372,"070c117afd4b5165",0
"21",1,44,1,2,1,3,1,-58.7704904274157,-34.3278587595283,"07779970f6f4dcc9",0
"22",1,33,1,2,1,4,1,-66.3702743222188,-29.4574921855042,"0802fd37ad2933dc",0
"23",1,20,1,1,2,7,2,-67.9020452530799,-54.0284903730289,"09d3628811951cad",0
"24",1,30,1,3,1,3,2,-58.5379364966436,-34.4868750258075,"0b0dfa6634b90313",0
"25",1,34,1,3,2,3,1,-64.1832160923879,-31.4170640978912,"0b31bbb9a8af65a2",0
"26",2,30,1,2,3,6,2,-58.7412518747816,-34.710055233357,"0bf2d98c89aa23b7",0
"27",1,23,1,2,1,2,1,-58.8103623815554,-34.6098501944399,"0c86532cbbb94c23",0
"28",1,19,1,2,2,5,2,-58.8654615414644,-33.2502036906973,"0cf38d60952fcba6",0
"29",1,21,1,4,3,4,2,-61.0625730848795,-33.8864975209984,"0d3c06c72b59a7f4",0
"30",1,18,1,3,1,3,2,-64.6152112222468,-35.9924443395322,"0d50fa0a547db321",0
"31",1,31,1,2,2,2,1,-64.1832160923879,-31.4170640978912,"0d52f01b8a3c0c32",0
"32",1,25,1,2,1,1,1,-60.3544161561354,-34.6182035687611,"0d68011fd52819f8",0
"33",1,43,1,2,1,6,1,-60.0585771056331,-33.5864929505293,"0db635c7bc3244c7",0
"34",2,19,1,3,3,8,2,-58.9025599874312,-34.4479556816522,"0f0f08d426d66d21",0
"35",1,22,1,3,1,10,2,-68.6080011148552,-33.4110228011791,"0f2122da4a8b3532",0
"36",1,28,1,3,1,1,1,-58.2767767278006,-34.7349189384936,"0fc222716083cf53",0
"37",1,20,1,4,3,4,2,-60.670037555783,-36.8572624889944,"1080a95768ba19a3",0
"38",1,23,1,3,1,4,2,-61.3979803974282,-28.8498018791877,"109c145352703cf1",0
"39",1,39,1,2,1,2,1,-58.6192889973626,-34.6483469056608,"11da985c3fb81238",0
"40",2,24,1,2,2,3,1,-58.7412518747816,-34.710055233357,"11f9cd906368463b",0
"41",1,20,1,2,2,6,2,-67.5580664653313,-38.5298248372128,"125bd50cc7b2c3c7",0
"42",2,27,1,3,2,5,2,-67.7093785858779,-45.2860015577364,"1282a85011bd1ff9",0
"43",2,26,1,3,1,5,2,-58.4488804101251,-34.6151479182398,"12f4c68b960c5843",0
"44",1,36,1,3,1,5,2,-59.1275315604157,-33.9965726299644,"1324a32924973db4",0
"45",1,20,1,3,1,4,2,-58.3413586936725,-34.6784127460771,"1340a30b6722321f",0
"46",2,45,1,3,3,4,2,-68.741772401042,-32.8882480800092,"15417714c09a38c0",0
"47",1,43,1,2,1,3,1,-61.1100432004277,-31.3171749553626,"15b02438c6132446",0
"48",2,28,1,2,3,6,2,-62.791425668622,-32.8784565749729,"16ad59f181335578",0
"49",1,18,1,2,1,6,2,-64.1528646180089,-31.1440566145003,"1703a6a1a35133ab",0
"50",1,30,1,2,2,3,2,-67.0782719603879,-35.20683556184,"1753b5c35d51609f",0
"51",1,39,2,3,2,8,2,-58.3781590459342,-25.938577139892,"1829363172426f9b",0
"52",1,23,1,3,1,4,2,-55.8580595078883,-27.5432827681667,"18446af2fb9c9882",0
