"","sampleId","gend","age","bath","ed","emp","pern","hhh","X","Y","treat","censusId","PERNUM","SERIAL"
"59","0830213000031",1,26,2,2,1,6,2,-65.2562159148128,-24.399008765009,1,"083021300003","03","0830213000"
"60","0853587000031",1,19,1,5,3,3,2,-63.6620515654836,-35.6797899427701,1,"085358700003","03","0853587000"
"61","0858327000011",2,44,1,2,1,5,1,-66.3702743222188,-29.4574921855042,1,"085832700001","01","0858327000"
"62","0860581000011",1,32,1,3,1,5,1,-66.3702743222188,-29.4574921855042,1,"086058100001","01","0860581000"
"63","0863168000011",1,33,1,2,2,4,1,-66.8974990104134,-28.6298957273695,1,"086316800001","01","0863168000"
"64","0877325000021",2,32,1,2,3,4,2,-68.9011851830163,-32.9282796299466,1,"087732500002","02","0877325000"
"65","0904610000011",2,50,1,2,3,3,1,-69.090098691949,-34.0705207733931,1,"090461000001","01","0904610000"
"66","0911264000021",1,30,1,2,1,5,2,-68.3505615915447,-34.9460322967049,1,"091126400002","02","0911264000"
"67","0921904000031",1,24,1,4,1,12,2,-55.8580595078883,-27.5432827681667,1,"092190400003","03","0921904000"
"68","0925063000031",2,19,1,3,3,3,2,-55.8580595078883,-27.5432827681667,1,"092506300003","03","0925063000"
"69","0927123000031",1,18,1,3,3,5,2,-55.8580595078883,-27.5432827681667,1,"092712300003","03","0927123000"
"70","0933521000011",1,32,1,2,1,3,1,-54.2690534088296,-27.0228677740905,1,"093352100001","01","0933521000"
"71","0934782000061",2,18,2,3,1,8,2,-54.3959063275068,-25.8735445482849,1,"093478200006","06","0934782000"
"72","0970883000011",1,42,1,2,1,2,1,-64.3680362619005,-39.6907497114853,1,"097088300001","01","0970883000"
"73","0972340000021",1,21,1,2,1,6,2,-67.5580664653313,-38.5298248372128,1,"097234000002","02","0972340000"
"74","0974208000041",1,20,1,3,1,4,2,-67.5580664653313,-38.5298248372128,1,"097420800004","04","0974208000"
"75","0991303000021",2,45,1,3,1,6,2,-65.2711768340015,-24.8911881837991,1,"099130300002","02","0991303000"
"76","1010950000011",1,29,2,2,3,1,1,-62.8279577738541,-23.5200291291668,1,"101095000001","01","1010950000"
"77","1013938000021",1,24,1,2,1,3,2,-68.4533550412046,-31.2132072117034,1,"101393800002","02","1013938000"
"78","1026230000021",2,45,1,2,3,6,2,-68.4670789691707,-31.6870540820238,1,"102623000002","02","1026230000"
"79","1045353000021",1,26,1,2,1,3,2,-68.0308297797123,-47.3332425134874,1,"104535300002","02","1045353000"
"80","1046430000021",1,28,1,3,1,5,2,-68.0308297797123,-47.3332425134874,1,"104643000002","02","1046430000"
"81","1049907000021",2,28,1,3,2,4,2,-70.5663895816414,-51.4133900352533,1,"104990700002","02","1049907000"
"82","1052243000011",1,40,1,3,1,5,1,-61.7047418962957,-32.6122445710241,1,"105224300001","01","1052243000"
"83","1058759000031",1,22,1,3,1,7,2,-61.6577808129607,-31.2333312428038,1,"105875900003","03","1058759000"
"84","1072343000011",1,33,1,2,1,5,1,-59.5279587708288,-28.6764585126372,1,"107234300001","01","1072343000"
"85","1075612000061",2,19,1,2,3,6,2,-59.5279587708288,-28.6764585126372,1,"107561200006","06","1075612000"
"86","1081532000061",2,20,1,3,3,9,2,-60.6696152885451,-31.4770125774097,1,"108153200006","06","1081532000"
"87","1082189000031",1,19,1,3,2,3,2,-60.6696152885451,-31.4770125774097,1,"108218900003","03","1082189000"
"88","1090863000011",2,20,1,2,1,3,1,-60.6696152885451,-31.4770125774097,1,"109086300001","01","1090863000"
