common_var,common_val,ipums_var,ipums_val,netquest_var,netquest_val
gend,,,,,
age,,,,,
ed,,,,,
ed_hhh,,,,,
emp,,,,,
emp_hhh,,,,,
auto,,,,,
pc,,,,,
web,,,,,
lightbulb,,,,,
floors,,,,,
nrooms,,,,,
shower,,,,,
tv,,,,,
child,,,,,
marst,,,,,
pern,,,,,
hhtype,,,,,
hhh,,,,,
X,,,,,
Y,,,,,
