"","gend","age","bath","ed","emp","pern","hhh","X","Y","panelId","treat"
"1",1,33,1,2,1,5,1,-64.7565303558657,-27.4812881208258,"0045a7b2ca058bcd",0
"2",1,26,1,2,1,7,2,-58.3668830324285,-34.834805250436,"0067a5064252f66c",0
"3",1,24,1,3,1,3,2,-58.7704904274157,-34.3278587595283,"0072f4abbcb693b4",0
"4",2,42,1,2,2,7,2,-65.2711768340015,-24.8911881837991,"00789f55c1629727",0
"5",1,30,1,2,1,7,1,-56.8353164844026,-28.8148054043692,"0083aabcc0c81325",0
"6",1,25,1,1,2,3,2,-67.7093785858779,-45.2860015577364,"00b7c88c5645cf1b",0
"7",2,43,1,3,1,3,1,-60.9632479719998,-32.9473767894086,"01cf4d5b970fa5b5",0
"8",2,24,1,2,3,4,2,-68.6689759067021,-32.9864228370018,"01fd23749a07dcd5",0
"9",1,20,1,2,1,6,2,-63.6378147989462,-30.0889639420226,"02280426cb50b3b5",0
"10",1,20,1,2,2,5,2,-58.8829412440182,-34.1386177245953,"022b652a92d15b97",0
"11",2,79,1,5,3,2,2,-58.5379364966436,-34.4868750258075,"025aa2b94adb48a3",0
"12",1,33,1,2,1,4,1,-64.5861516416936,-31.222559240613,"02d6a3ca97c5a42a",0
"13",1,32,1,2,1,3,1,-59.1145538004664,-27.7194121391442,"02db42105df9dc91",0
"14",2,88,1,3,3,1,1,-58.4488804101251,-34.6151479182398,"032b85c24dfbc4f1",0
"15",1,27,1,3,1,4,2,-58.5447837824873,-34.1483185346441,"033afb243d3060a8",0
"16",1,41,1,2,1,2,1,-58.3413586936725,-34.6784127460771,"03547c040d436153",0
"17",1,25,1,2,3,2,2,-58.917166606432,-25.7764661710911,"03b31681d4824491",0
"18",1,27,1,3,1,3,1,-56.9258085562639,-36.6558414912978,"0436838539455dd4",0
"19",1,33,1,2,1,2,1,-55.8580595078883,-27.5432827681667,"04d71c538784fd69",0
"20",1,30,2,2,1,3,1,-58.3668830324285,-34.834805250436,"05072f2d04541699",0
"21",2,43,1,3,1,3,1,-60.7066788994818,-33.1299963261325,"052bc029212514fb",0
"22",1,33,1,3,1,5,1,-64.432235728455,-27.8874401651362,"053287c967081693",0
"23",1,22,1,3,2,3,1,-60.7066788994818,-33.1299963261325,"053c8233fd536d59",0
"24",1,50,1,3,1,6,1,-58.6881604368356,-34.6351448148524,"0549dcbc6952bb39",0
"25",1,29,1,3,1,3,2,-60.6696152885451,-31.4770125774097,"057393c2c54a1fdd",0
"26",1,29,1,2,1,2,2,-64.1832160923879,-31.4170640978912,"059d3dc0f649baa2",0
"27",1,25,1,3,1,2,2,-58.5053444861507,-34.5263761375676,"05d8cab95a14cfab",0
"28",1,35,1,2,1,3,1,-57.7400569739232,-37.965633071548,"05da26765307dd22",0
"29",1,30,1,3,1,4,2,-58.6914314463256,-34.551278217791,"06290ad04bfb3096",0
"30",1,39,1,3,1,5,1,-63.2562238529538,-32.5143344670918,"063dcc543cf1946a",0
"31",1,22,1,3,1,3,2,-58.2580631285934,-34.876793577096,"06444ff5a6cb4dd6",0
"32",1,24,1,2,1,4,2,-65.1562483911889,-31.7077606035851,"06491fba21d41a32",0
"33",1,25,1,2,1,2,1,-58.3413586936725,-34.6784127460771,"080622748415a7aa",0
