"","gend","age","bath","ed","emp","pern","hhh","X","Y","panelId","treat"
"1",1,20,1,2,2,7,2,-67.7093785858779,-45.2860015577364,"001a3a88c30c4d6c",0
"2",1,26,1,2,1,4,2,-60.4899106899271,-30.5325710648442,"0021089371d29ad1",0
"3",1,32,1,3,1,4,1,-64.1832160923879,-31.4170640978912,"008baa88964b0634",0
"4",2,50,1,5,3,3,1,-58.4488804101251,-34.6151479182398,"00b3bfb42f1101b7",0
"5",2,26,1,3,1,3,1,-67.9020452530799,-54.0284903730289,"01063d2bf45bc29f",0
"6",1,33,1,3,1,4,1,-68.9011851830163,-32.9282796299466,"010903badc8f69d4",0
"7",1,26,1,3,1,4,2,-58.4762694631934,-34.8303492519273,"0115b19548d28397",0
"8",1,23,1,2,1,4,1,-65.2562159148128,-24.399008765009,"018512a1c41d53b3",0
"9",1,21,1,2,1,5,2,-64.1832160923879,-31.4170640978912,"01b43b7161fa21dd",0
"10",2,27,1,3,1,3,1,-58.6490721584121,-34.5983174361618,"021043f658d8c38c",0
"11",1,32,1,2,1,3,2,-58.7640220601412,-27.5196363062383,"0223311cc0f8f6af",0
"12",2,25,2,4,1,5,2,-55.8580595078883,-27.5432827681667,"0248c05875001b3b",0
"13",2,24,1,5,3,3,2,-58.4488804101251,-34.6151479182398,"02606b0329135147",0
"14",1,37,1,2,1,6,2,-58.6246088672568,-34.7693065019551,"02640d52af4408f0",0
"15",1,36,1,2,1,7,2,-58.6246088672568,-34.7693065019551,"0268a1768657d48b",0
"16",1,39,1,4,1,4,2,-65.2711768340015,-24.8911881837991,"02a145803539ff7d",0
"17",1,25,1,2,1,3,1,-65.2711768340015,-24.8911881837991,"02a7328db2a78d66",0
"18",2,27,1,3,1,3,2,-57.8272448331031,-34.9098091823487,"02d44567f4b69bf1",0
"19",1,33,1,2,1,2,2,-58.3781590459342,-25.938577139892,"0344cd15b525affd",0
"20",1,20,1,2,2,6,2,-66.7748878796806,-27.4119550239588,"034d757b3da42762",0
"21",1,21,1,3,1,8,2,-68.6422563610844,-31.5544504953568,"03bf6b8412db37b3",0
"22",1,23,1,3,1,5,2,-65.432605838322,-24.0861500844631,"03c351bf7d34f585",0
"23",1,31,1,3,1,9,2,-64.9230501419912,-42.4472770269569,"0416626b367f8f16",0
"24",2,48,1,5,3,3,1,-58.4488804101251,-34.6151479182398,"0433c7927062fdc4",0
"25",1,44,1,3,1,2,1,-65.2711768340015,-24.8911881837991,"04973668c070208a",0
"26",2,52,1,5,3,2,1,-58.9025599874312,-34.4479556816522,"04c090f419ff7b20",0
"27",2,49,1,3,3,6,2,-68.9011851830163,-32.9282796299466,"04df5a143126497b",0
