"","gend","age","bath","ed","emp","pern","hhh","X","Y","panelId","treat"
"1",1,23,1,2,1,5,1,-68.741772401042,-32.8882480800092,"000788074baabd16",0
"2",2,23,2,2,1,4,2,-54.3959063275068,-25.8735445482849,"002896073a99b609",0
"3",1,19,1,3,2,5,2,-58.4488804101251,-34.6151479182398,"002c5ad0915bbf69",0
"4",2,22,1,5,3,4,2,-58.6914314463256,-34.551278217791,"0040029f044a602a",0
"5",2,23,1,4,1,5,2,-58.5788319362462,-34.5948809827233,"004ba47d80b42308",0
"6",1,27,1,3,1,5,2,-58.4762694631934,-34.8303492519273,"006a115188dcd011",0
"7",2,80,1,3,3,4,2,-59.1568059719232,-34.5684818918404,"0083fb728660b4d2",0
"8",1,69,1,2,1,2,1,-58.6246088672568,-34.7693065019551,"008808b87d8a85ab",0
"9",1,33,1,3,1,5,1,-60.0438436477086,-31.6969409558606,"0092d1f847bf1163",0
"10",1,18,1,3,1,4,2,-65.4458282535115,-26.6614655020242,"00c744b7434c95b3",0
"11",1,67,1,5,3,2,2,-58.4488804101251,-34.6151479182398,"00c7a444b00fc334",0
"12",2,31,1,5,3,4,2,-60.2924970437052,-33.4822928824669,"00cd471b381d1a54",0
"13",2,23,1,2,1,3,2,-55.8580595078883,-27.5432827681667,"00d28dc16dffcaab",0
"14",2,22,1,3,1,2,1,-58.3413586936725,-34.6784127460771,"00fd3b0c605c3f4f",0
"15",1,39,1,4,1,3,1,-58.8829412440182,-34.1386177245953,"015443ac368f6b90",0
"16",2,54,1,5,1,2,2,-58.5053444861507,-34.5263761375676,"0154c556cf95c49c",0
"17",1,54,1,3,1,3,1,-64.5861516416936,-31.222559240613,"015a989bb0b0a350",0
"18",2,73,1,3,3,2,1,-58.5637335647496,-34.5518231350295,"0160f5687cabfd8b",0
"19",1,24,1,3,3,10,2,-58.7412518747816,-34.710055233357,"0182b51adc204977",0
"20",2,25,1,2,1,3,2,-58.4488804101251,-34.6151479182398,"01b668933918369b",0
"21",2,41,1,3,1,2,2,-58.4488804101251,-34.6151479182398,"01c2f4286043d57c",0
"22",1,38,1,2,1,2,1,-64.1832160923879,-31.4170640978912,"01dd3b9016a34893",0
"23",2,26,1,3,1,2,2,-58.5788319362462,-34.5948809827233,"02213847131a3ccf",0
"24",1,44,1,2,1,3,1,-58.9025599874312,-34.4479556816522,"022149c5ba262ffc",0
"25",1,20,1,3,1,4,2,-63.8430407554091,-24.8731628877567,"022c75cb7cc56c44",0
"26",1,25,1,3,1,3,2,-64.3070592388571,-31.7112018537678,"0233ca9908cfa447",0
"27",1,39,1,5,1,5,1,-58.423469690169,-34.7541169431057,"023a0b00261d7aa3",0
"28",2,29,1,3,3,9,2,-58.1552215029755,-34.8181707378354,"023c29b8094b1fd5",0
"29",1,28,1,3,1,4,1,-68.5342005205531,-31.5331511580079,"023fa27bc49b7c14",0
"30",2,27,1,3,1,3,2,-58.622113918476,-28.2120518062007,"025796faf22f77d5",0
"31",1,48,1,2,1,6,2,-58.2767767278006,-34.7349189384936,"025cc13a7c9160d4",0
"32",2,24,1,5,3,3,2,-58.4488804101251,-34.6151479182398,"02606b0329135147",0
