"","x"
"320","0718592000041"
"321","0727324000021"
"322","0724156000021"
"323","0711520000021"
"324","0724660000021"
"325","0727331000011"
"326","0729789000011"
"327","0709130000021"
"328","0742523000021"
"329","0761278000011"
"330","0752948000051"
"331","0743464000011"
"332","0757098000011"
"333","0749796000011"
"334","0740578000011"
"335","0760491000031"
"336","0759870000011"
"337","0755458000031"
"338","0766526000021"
"339","0762592000011"
"340","0776675000021"
"341","0773195000011"
"342","0763000000011"
"343","0771817000011"
"344","0762894000011"
"345","0785409000021"
"346","0793104000011"
"347","0785307000011"
"348","0789843000011"
"349","0803495000011"
"350","0803634000011"
"351","0787690000051"
"352","0788948000021"
"353","0813746000021"
"354","0783770000011"
"355","0802745000021"
"356","0792441000021"
"357","0779508000021"
"358","0828167000021"
"359","0818117000011"
"360","0822357000041"
"361","0818683000011"
"362","0823500000041"
"363","0823472000031"
"364","0835216000011"
"365","0832160000011"
"366","0834890000021"
"367","0841550000021"
"368","0834212000061"
"369","0835750000041"
"370","0836371000031"
"371","0842248000011"
"372","0839351000061"
"373","0847091000011"
"374","0855134000011"
"375","0854251000021"
"376","0861801000021"
"377","0865477000021"
"378","0866681000011"
"379","0867911000021"
"380","0883608000021"
"381","0910142000011"
"382","0876375000011"
"383","0909158000031"
"384","0882845000021"
"385","0904442000011"
"386","0915906000071"
"387","0908648000031"
"388","0890126000031"
"389","0903868000011"
"390","0874175000011"
"391","0890793000011"
"392","0888281000021"
"393","0887953000011"
"394","0899936000031"
"395","0908772000011"
"396","0897533000021"
"397","0907324000031"
"398","0903253000011"
"399","0887238000041"
"400","0869039000071"
"401","0869732000011"
"402","0919121000011"
"403","0921864000011"
"404","0935394000021"
"405","0931599000021"
"406","0946053000021"
"407","0927535000011"
"408","0934094000031"
"409","0918406000021"
"410","0930339000021"
"411","0919320000011"
"412","0920104000011"
"413","0918974000011"
"414","0953746000021"
"415","0950108000031"
"416","0956847000031"
"417","0948674000021"
"418","0954459000011"
"419","0949963000021"
"420","0958177000021"
"421","0951694000021"
"422","0956015000011"
"423","0950266000011"
"424","0962534000011"
"425","0973846000011"
"426","0968387000011"
"427","0981959000021"
"428","0978234000021"
"429","0979420000011"
"430","0968286000011"
"431","0985542000021"
"432","0998017000011"
"433","1002398000011"
"434","0990466000021"
"435","0987216000021"
"436","1011459000021"
"437","0994065000011"
"438","1003047000031"
"439","0994045000021"
"440","1006468000021"
"441","1001168000021"
"442","0987929000011"
"443","0985528000051"
"444","1008218000031"
"445","1025301000011"
"446","1016576000031"
"447","1016387000011"
"448","1020208000011"
"449","1028692000011"
"450","1028664000021"
"451","1017082000041"
"452","1043627000021"
"453","1034051000021"
"454","1034952000011"
"455","1033023000011"
"456","1044098000041"
"457","1050704000011"
"458","1044824000011"
"459","1048097000021"
"460","1134778000021"
"461","1146912000011"
"462","1152061000021"
"463","1077316000031"
"464","1068972000011"
"465","1150528000011"
"466","1066668000011"
"467","1067606000011"
"468","1111323000041"
"469","1087593000011"
"470","1081326000011"
"471","1072802000021"
"472","1055625000011"
"473","1096772000011"
"474","1070562000041"
