"","sampleId","gend","age","bath","ed","emp","pern","hhh","X","Y","treat","censusId","PERNUM","SERIAL"
"1","0029759000031",1,20,1,3,1,6,2,-58.44888,-34.61515,1,"002975900003","03","0029759000"
"2","0112899000011",1,49,2,3,1,3,1,-58.44888,-34.61515,1,"011289900001","01","0112899000"
"3","0105668000021",2,23,1,5,1,2,2,-58.44888,-34.61515,1,"010566800002","02","0105668000"
"4","0021382000051",2,48,1,3,2,5,2,-58.4488804101251,-34.6151479182398,1,"002138200005","05","0021382000"
"5","0170854000021",2,72,1,3,3,2,2,-57.82724,-34.90981,1,"017085400002","02","0170854000"
"6","0187957000011",1,20,1,2,1,3,1,-61.88895,-37.53164,1,"018795700001","01","0187957000"
"7","0237357000011",2,65,1,2,3,1,1,-57.74006,-37.96563,1,"023735700001","01","0237357000"
"8","0322968000011",1,20,1,2,1,5,1,-58.62461,-34.76931,1,"032296800001","01","0322968000"
"9","0417176000021",1,36,1,3,1,2,2,-58.71143,-34.48647,1,"041717600002","02","0417176000"
"10","0568469000011",1,46,1,2,1,6,1,-58.57883,-34.59488,1,"056846900001","01","0568469000"
"11","0477249000011",1,25,1,3,1,4,1,-58.90256,-34.44796,1,"047724900001","01","0477249000"
"12","0544376000011",2,52,1,2,3,4,1,-58.43164,-35.07,1,"054437600001","01","0544376000"
"13","0117135000011",2,47,1,2,1,3,1,-58.36688,-34.83481,1,"011713500001","01","0117135000"
"14","0256379000011",1,31,1,3,1,3,1,-58.98609,-34.65125,1,"025637900001","01","0256379000"
"15","0534054000011",2,53,2,2,1,3,1,-58.69143,-34.55128,1,"053405400001","01","0534054000"
"16","0223441000021",2,24,1,3,3,4,2,-58.25806,-34.87679,1,"022344100002","02","0223441000"
"17","0437599000061",2,25,1,3,2,10,2,-58.74125,-34.71006,1,"043759900006","06","0437599000"
"18","0173753000021",2,21,1,2,2,4,2,-60.5328,-36.24412,1,"017375300002","02","0173753000"
"19","0304244000031",1,41,1,3,1,6,2,-58.62461,-34.76931,1,"030424400003","03","0304244000"
"20","0486061000011",1,25,1,2,1,1,1,-56.87324,-37.11465,1,"048606100001","01","0486061000"
"21","0297607000011",1,65,2,3,1,2,1,-58.62461,-34.76931,1,"029760700001","01","0297607000"
"22","0341687000021",2,22,1,2,1,2,2,-58.62461,-34.76931,1,"034168700002","02","0341687000"
"23","0324285000011",1,71,1,3,1,1,1,-58.62461,-34.76931,1,"032428500001","01","0324285000"
"24","0440423000011",2,27,1,3,1,3,1,-58.81036,-34.60985,1,"044042300001","01","0440423000"
"25","0160405000021",2,41,1,2,1,4,2,-59.92551,-37.90497,1,"016040500002","02","0160405000"
"26","0130682000011",1,24,1,2,1,2,1,-58.36688,-34.83481,1,"013068200001","01","0130682000"
"27","0422398000021",2,30,1,3,1,4,2,-59.42096,-34.69709,1,"042239800002","02","0422398000"
"28","0532414000051",1,24,1,3,1,6,2,-58.69143,-34.55128,1,"053241400005","05","0532414000"
"29","0446782000021",1,21,1,2,1,6,2,-58.81036,-34.60985,1,"044678200002","02","0446782000"
"30","0377002000041",2,24,1,5,3,4,2,-58.0181,-35.0034,1,"037700200004","04","0377002000"
"31","0561232000011",1,35,1,2,1,4,1,-58.60644,-34.38216,1,"056123200001","01","0561232000"
"32","0244849000011",1,26,1,3,1,3,1,-57.74006,-37.96563,1,"024484900001","01","0244849000"
"33","0302285000041",1,22,1,3,1,5,2,-58.62461,-34.76931,1,"030228500004","04","0302285000"
"34","0512108000011",1,29,1,2,1,6,1,-59.70348,-35.67642,1,"051210800001","01","0512108000"
"35","0534742000021",2,29,1,2,1,3,2,-58.69143,-34.55128,1,"053474200002","02","0534742000"
"36","0320726000021",2,31,1,3,1,4,2,-58.62461,-34.76931,1,"032072600002","02","0320726000"
"37","0159154000011",1,77,1,2,3,2,1,-59.4932,-33.93207,1,"015915400001","01","0159154000"
"38","0118002000081",1,33,1,3,2,14,2,-58.36688,-34.83481,1,"011800200008","08","0118002000"
"39","0340104000011",1,43,1,2,1,3,1,-58.62461,-34.76931,1,"034010400001","01","0340104000"
"40","0478154000011",1,21,1,2,1,5,1,-58.90256,-34.44796,1,"047815400001","01","0478154000"
"41","0573314000041",1,24,1,3,1,6,2,-58.57883,-34.59488,1,"057331400004","04","0573314000"
"42","0215764000031",1,25,1,2,1,4,2,-58.56415,-34.87524,1,"021576400003","03","0215764000"
"43","0128346000061",1,18,1,2,2,6,2,-58.36688,-34.83481,1,"012834600006","06","0128346000"
"44","0291695000011",2,50,1,5,3,2,1,-61.00598,-34.54679,1,"029169500001","01","0291695000"
"45","0275863000031",1,27,1,3,2,5,2,-58.64907,-34.59832,1,"027586300003","03","0275863000"
"46","0521578000041",1,73,1,2,3,4,2,-58.53794,-34.48688,1,"052157800004","04","0521578000"
"47","0476735000041",1,23,1,3,1,4,2,-60.54444,-33.83625,1,"047673500004","04","0476735000"
"48","0434193000011",1,45,1,2,1,4,1,-58.74125,-34.71006,1,"043419300001","01","0434193000"
"49","0470365000011",1,28,1,4,1,4,1,-60.67004,-36.85726,1,"047036500001","01","0470365000"
"50","0506494000011",2,68,1,2,1,7,1,-58.27678,-34.73492,1,"050649400001","01","0506494000"
